id,tax_id,name,slug,sku,tags,video,sort_details,specification_name,specification_description,is_specification,details,photo,discount_price,previous_price,stock,meta_keywords,meta_description,status,is_type,date,file,link,file_type,created_at,updated_at,license_name,license_key,item_type,thumbnail,affiliate_link,category,subcategory,childcategory,brand,"diamond price","labor price","gold per gram"
602,3,"925 CRUCIFIX DAGGER WITH ROPE CHAIN",zBZ925-CRUCIFIX-DAGGER-WITH-ROPE-CHAINr5,ZROoA4MVw3,,,"<p>Crucifix Dagger in pendant form along with a 92.5 silver rope chain.</p><p>• Crafted with the finest 92.5 sterling silver.</p><p>• Adjustable length starting 16” + 4”.</p>","[""In order to keep your jewellery looking fresh and new, we advise to keep your pieces dry and if they do come in contact with water to dry them immediately. Avoid letting your jewellery come in contact with sweat, perfumes, chlorine, nail polish remover, hair spray and soaps. Store your silver jewellery in airtight bags or in your HotNWatNot box. Silver tarnishes quickly when it\u2019s exposed to oxygen and sulphur. In order to avoid this we advise wearing your jewellery as often as possible as the oil from your skin prevents tarnishing. When you need to clean the silver pieces, use a jewellery cloth as the metal is soft.""]",[null],1,"<p class=""p1"" style=""margin-right: 0px; margin-bottom: 3px; margin-left: 0px; font-stretch: normal; font-size: 28px; line-height: normal; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.3); -webkit-text-size-adjust: auto;""><span class=""s1"" style=""font-family: UICTFontTextStyleBody; font-weight: bold;"">Our radiant crucifix dagger always catches the attention, especially with the finely crafted rope chain. Made from polished sterling silver! Look closely and you’ll see our '925 HNWN' signature lovingly engraved for you on the backside of the charm.</span></p>",https://www.ecoluxejewels.com/assets/images/17250900204.jpg,0,59.46,9,,,0,new,,,,,2022-12-29T02:26:02.000000Z,2024-11-25T07:36:32.000000Z,,,normal,c3uQczSt.jpg,,RINGS,,,,,,
603,3,"THE 925 VIXEN NECKLACE",t2wTHE-925-VIXEN-NECKLACEqm,9xJgZobBFS,,,"<p>Vixen charm paired with Italian snake chain.</p><p>• Crafted with the finest 92.5 sterling silver.</p><p>• Comes with an adjustable length of 16” + 4”.</p><p><br></p>","[""In order to keep your jewellery looking fresh and new, we advise to keep your pieces dry and if they do come in contact with water to dry them immediately. Avoid letting your jewellery come in contact with sweat, perfumes, chlorine, nail polish remover, hair spray and soaps. Store your silver jewellery in airtight bags or in your HotNWatNot box. Silver tarnishes quickly when it\u2019s exposed to oxygen and sulphur. In order to avoid this we advise wearing your jewellery as often as possible as the oil from your skin prevents tarnishing. When you need to clean the silver pieces, use a jewellery cloth as the metal is soft.""]",[null],1,"<p><br></p><p class=""p2"" style=""margin-right: 0px; margin-bottom: 3px; margin-left: 0px; font-stretch: normal; font-size: 28px; line-height: normal; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.3); -webkit-text-size-adjust: auto;""><span class=""s1"" style=""font-family: UICTFontTextStyleBody; font-weight: bold;"">Effortlessly sexy. This necklace catches all eyes for the best&nbsp;<span class=""Apple-converted-space"">&nbsp;</span>reason.&nbsp;</span></p><p class=""p2"" style=""margin-right: 0px; margin-bottom: 3px; margin-left: 0px; font-stretch: normal; font-size: 28px; line-height: normal; -webkit-tap-highlight-color: rgba(26, 26, 26, 0.3); -webkit-text-size-adjust: auto;""><span class=""s1"" style=""font-family: UICTFontTextStyleBody; font-weight: bold;"">Look closely and you’ll see our “925 HNWN” signature lovingly engraved along with the Vixen charm .</span></p>",https://www.ecoluxejewels.com/assets/images/17250898905.jpg,0,9890,6,,,1,top,,,,,2022-12-31T07:55:29.000000Z,2024-10-01T08:51:07.000000Z,,,normal,YRaahlk7.jpg,,RINGS,,,,,,
609,3,"Vintage Cross Pendant with Double chain",wPcVintage-Cross-Pendant-with-Double-chaink7,TMk7hdLqwT,,,"<p>Metal: Brass</p><p>Length: 18” + 2”</p>",[null],[null],1,"<p>Vintage Cross pendant with double chain.&nbsp;</p>",https://www.ecoluxejewels.com/assets/images/17250897852-2.jpg,0,4090,0,,,1,top,,,,,2023-03-11T08:43:42.000000Z,2024-10-01T08:51:07.000000Z,,,normal,i7YGw8ZO.jpg,,RINGS,,,,,,
610,3,"Casper Charm with chain",vGKCasper-Charm-with-chainOl,tksCC3I1be,,,"<p>Metal: Brass</p><p>length: 20” + 2”</p>",[null],[null],1,"<p>Casper pendant with chain. One pendant per purchase.</p>",https://www.ecoluxejewels.com/assets/images/17250897455.jpg,0,4000,0,,,1,new,,,,,2023-03-11T08:53:17.000000Z,2024-10-01T08:51:07.000000Z,,,normal,kTmPkrdr.jpg,,RINGS,,,,,,
612,3,"Puzzle Necklace",RsMPuzzle-Necklace-dk,NNKFeQhOfs,,,"<p>Three piece puzzle charm paired with Miami link chain.</p><p>• Crafted with 92.5 sterling silver.</p><p>• Rhodium plated (Anti Tarnish)</p><p>• Adjustable length starting 16” + 4”</p><p><br></p>",[null],[null],1,"Puzzle Necklace is an artsy piece dream. Eye catching and unique in its own way!",https://www.ecoluxejewels.com/assets/images/17250890504.jpg,0,11850,3,,,1,undefine,,,,,2023-05-09T07:05:23.000000Z,2024-10-01T08:51:07.000000Z,,,normal,b2kiKEAX.jpg,,RINGS,,,,,,
613,3,"Puzzle Earrings",jWyPuzzle-Earrings-gI,p5B0mvI6bX,,,"<p>Puzzle Earrings</p><p>• Crafted with 92.5 sterling silver.</p><p>• Rhodium Plated (Anti Tarnish)</p><p>• One pair of earrings per purchase.</p>",[null],[null],1,"<p>Puzzle Earrings are a statement piece on its own.</p>",https://www.ecoluxejewels.com/assets/images/17250891034-2.jpg,0,3900,3,,,1,undefine,,,,,2023-05-11T06:34:49.000000Z,2024-10-01T08:51:07.000000Z,,,normal,FoHfLRqo.jpg,,RINGS,,,,,,
614,3,"GOD LOVER PENDANT",B2dGOD-LOVER-PENDANTmz,2znpPxD34t,,,"<p>GOD LOVER PENDANT / CHARM</p><p>• MADE WITH 92.5 STERLING SILVER</p><p>• RHODIUM PLATED</p><p>• PENDANT LENGTH AROUND 1 INCH</p><p>• ONE PENDANT WITHOUT CHAIN PER PURCHASE.</p><p>• CUBAN CHAIN (20-24 inches) AVAILABLE ON EXTRA PRICE.</p>",[null],[null],1,"<p>Gold jewellery vibes are immaculate.</p><p>For those who love adding the color gold to their fits.&nbsp;</p>",https://www.ecoluxejewels.com/assets/images/17250891483-2.jpg,0,3350,4,,,1,undefine,,,,,2023-07-02T03:40:54.000000Z,2024-10-01T08:51:07.000000Z,,,normal,J2iNBIHk.jpg,,RINGS,,,,,,
615,3,"LISA PENDANT",kjOLISA-PENDANTla,C0NjZqrRyJ,,,"<p>LISA PENDANT / CHARM</p><p>• MADE WITH 92.5 STERLING SILVER</p><p>• RHODIUM PLATED</p><p>• PENDANT LENGTH AROUND 1.5 INCHES</p><p>• ONE PENDANT / CHARM PER PURCHASE (WITHOUT CHAIN)</p><p>• CHAIN (20-24 inches) AVAILABLE ON EXTRA PRICE.</p>",[null],[null],1,"<p>LISA PENDANT</p>",https://www.ecoluxejewels.com/assets/images/17250892086-2.jpg,0,4400,4,,,1,undefine,,,,,2023-07-02T03:59:13.000000Z,2024-10-01T08:51:07.000000Z,,,normal,me0h5Tr3.jpg,,RINGS,,,,,,
616,3,"Signature Stone Bracelet",guISignature-Stone-BraceletTc,v7RRJhOIyu,,,"<p>available in gold vermeil and white gold plated sterling silver.</p><p>base metal: 92.5% sterling silver&nbsp;</p><p>size: 7 inches</p><p>stone: cubic zirconia&nbsp;</p>",[null],[null],1,"<p>Signature Stone Bracelet&nbsp;</p>",https://www.ecoluxejewels.com/assets/images/17250895552-2.jpg,0,4900,0,,,1,undefine,,,,,2023-07-21T03:49:38.000000Z,2024-10-01T08:51:07.000000Z,,,normal,KDzI4Qtm.jpg,,RINGS,,,,,,
617,3,"Tripple Dagger Bracelet",f4GTripple-Dagger-BraceletIH,nfSXbKyAiB,,,"<p>available in gold vermeil and white gold plated sterling silver.</p><p>base metal: 92.5% sterling silver</p><p>size: upto 8 inches adjustable&nbsp;</p>",[null],[null],1,"<p>Triple Dagger Bracelet&nbsp;</p>",https://www.ecoluxejewels.com/assets/images/17250896821-2.jpg,0,2995,4,,,1,undefine,,,,,2023-07-21T03:57:52.000000Z,2024-10-01T08:51:07.000000Z,,,normal,IMdTQXB3.jpg,,RINGS,,,,,,
