date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:32	100/100	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Sep%202023%2010:56:31%20GMT	https://www.greateasternretail.com/robots.txt		(from )
16:26:32	237220/237220	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Sep%202023%2010:56:32%20GMT	https://www.greateasternretail.com/	C:/Fitnesss/ashok_sir_pp/www.greateasternretail.com/index.html	(from )
16:26:34	308/308	---M--	200	added ('OK')	image/png	date:Fri,%2014%20May%202021%2011:48:23%20GMT	https://d1kivxjtmxnd4.cloudfront.net//assets/favicon/favicon-16x16.png	C:/Fitnesss/ashok_sir_pp/d1kivxjtmxnd4.cloudfront.net/assets/favicon/favicon-16x16.png	(from https://www.greateasternretail.com/)
16:26:34	10413/10413	---M--	200	added ('OK')	image/png	etag:%2228ad-5c9a541dd2b2e%22	https://www.greateasternretail.com/static/assets/img/great-eastern.png	C:/Fitnesss/ashok_sir_pp/www.greateasternretail.com/static/assets/img/great-eastern.png	(from https://www.greateasternretail.com/)
16:26:35	165492/165492	---MCZ	200	added ('OK')	text/css	etag:W/%221b572a9df9f5645063b9bf4cb23933d2%22	https://d2afzgorr4mxtq.cloudfront.net/assets/css/bootstrap.min.css	C:/Fitnesss/ashok_sir_pp/d2afzgorr4mxtq.cloudfront.net/assets/css/bootstrap.min.css	(from https://www.greateasternretail.com/)
16:26:36	57423/57423	---M-Z	200	added ('OK')	text/css	etag:%22e04f-5c9a54367e26c-gzip%22	https://www.greateasternretail.com/static/ge_assets/bootstrap-icons/bootstrap-icons.min.css	C:/Fitnesss/ashok_sir_pp/www.greateasternretail.com/static/ge_assets/bootstrap-icons/bootstrap-icons.min.css	(from https://www.greateasternretail.com/)
16:26:36	3190/3190	---MCZ	200	added ('OK')	text/css	etag:W/%2221bab034e641789a88a07cab87224e06%22	https://d2afzgorr4mxtq.cloudfront.net/assets/css/owl.carousel.min.css	C:/Fitnesss/ashok_sir_pp/d2afzgorr4mxtq.cloudfront.net/assets/css/owl.carousel.min.css	(from https://www.greateasternretail.com/)
16:26:36	864/864	---M--	200	added ('OK')	text/css	etag:%2230971ddd851976463ce00211acdca2c0%22	https://d2afzgorr4mxtq.cloudfront.net/assets/css/owl.theme.default.min.css	C:/Fitnesss/ashok_sir_pp/d2afzgorr4mxtq.cloudfront.net/assets/css/owl.theme.default.min.css	(from https://www.greateasternretail.com/)
16:26:36	52338/52338	---MCZ	200	added ('OK')	text/css	etag:W/%22696f24e36520b96074d18807b8983567%22	https://d2afzgorr4mxtq.cloudfront.net/assets/css/home.min.css	C:/Fitnesss/ashok_sir_pp/d2afzgorr4mxtq.cloudfront.net/assets/css/home.min.css	(from https://www.greateasternretail.com/)
16:26:36	78748/78748	---MCZ	200	added ('OK')	application/javascript	etag:W/%228831aa095cdec88f66c2e46c339cf352%22	https://d2afzgorr4mxtq.cloudfront.net/assets/js/bootstrap.bundle.min.js	C:/Fitnesss/ashok_sir_pp/d2afzgorr4mxtq.cloudfront.net/assets/js/bootstrap.bundle.min.js	(from https://www.greateasternretail.com/)
